DAT_MED;HR_MED;TEM_INS;UMD_INS;VEN_VEL
2012-01-01;0;26.6;81.0;1.1
2012-01-01;100;26.3;81.0;0.8
2012-01-01;200;26.2;82.0;0.7
2012-01-01;300;26.0;83.0;0.2
2012-01-01;400;25.6;85.0;0.7
2012-01-01;500;25.2;87.0;0.1
2012-01-01;600;25.0;88.0;0.4
2012-01-01;700;24.8;89.0;0.3
2012-01-01;800;24.2;90.0;0.0
2012-01-01;900;24.2;91.0;0.1
2012-01-01;1000;24.5;91.0;0.5
2012-01-01;1100;26.9;85.0;0.7
2012-01-01;1200;28.4;78.0;1.0
2012-01-01;1300;29.1;69.0;1.7
2012-01-01;1400;31.8;61.0;1.6
2012-01-01;1500;32.7;59.0;1.3
2012-01-01;1600;31.1;57.0;2.6
2012-01-01;1700;31.2;59.0;1.3
2012-01-01;1800;25.6;83.0;1.3
2012-01-01;1900;28.3;81.0;1.2
2012-01-01;2000;27.3;82.0;2.2
2012-01-01;2100;27.7;82.0;1.1
2012-01-01;2200;27.6;74.0;1.5
2012-01-01;2300;27.2;75.0;0.9
2012-01-02;0;26.6;75.0;0.4
2012-01-02;100;25.9;79.0;0.2
2012-01-02;200;25.8;81.0;0.2
2012-01-02;300;25.4;84.0;0.1
2012-01-02;400;25.3;84.0;0.2
2012-01-02;500;25.2;85.0;0.2
2012-01-02;600;24.9;86.0;1.2
2012-01-02;700;24.7;86.0;0.4
2012-01-02;800;24.5;86.0;0.5
2012-01-02;900;24.4;86.0;0.2
2012-01-02;1000;25.2;85.0;0.8
2012-01-02;1100;26.8;79.0;1.2
2012-01-02;1200;28.4;73.0;1.5
2012-01-02;1300;29.7;63.0;1.5
2012-01-02;1400;31.6;58.0;1.7
2012-01-02;1500;32.9;53.0;1.6
2012-01-02;1600;31.9;51.0;1.6
2012-01-02;1700;31.0;56.0;2.3
2012-01-02;1800;29.6;61.0;2.5
2012-01-02;1900;30.7;62.0;2.6
2012-01-02;2000;30.5;58.0;2.2
2012-01-02;2100;29.8;60.0;2.0
2012-01-02;2200;28.5;63.0;2.7
2012-01-02;2300;27.3;68.0;1.1
2012-01-03;0;26.7;74.0;1.0
2012-01-03;100;26.0;78.0;0.8
2012-01-03;200;25.4;81.0;0.2
2012-01-03;300;24.8;85.0;0.6
2012-01-03;400;24.6;86.0;0.3
2012-01-03;500;24.1;88.0;0.1
2012-01-03;600;24.2;88.0;0.1
2012-01-03;700;24.0;90.0;0.0
2012-01-03;800;23.8;90.0;0.4
2012-01-03;900;23.7;91.0;0.2
2012-01-03;1000;24.4;90.0;0.3
2012-01-03;1100;25.3;88.0;0.4
2012-01-03;1200;28.0;77.0;1.4
2012-01-03;1300;29.4;67.0;1.5
2012-01-03;1400;31.7;58.0;1.7
2012-01-03;1500;32.2;55.0;1.4
2012-01-03;1600;33.1;50.0;1.5
2012-01-03;1700;32.8;48.0;1.1
2012-01-03;1800;32.6;46.0;1.5
2012-01-03;1900;32.7;47.0;1.1
2012-01-03;2000;31.7;49.0;0.9
2012-01-03;2100;30.2;55.0;1.6
2012-01-03;2200;28.9;59.0;2.1
2012-01-03;2300;27.9;65.0;1.8
2012-01-04;0;26.9;69.0;1.1
2012-01-04;100;26.4;73.0;0.9
2012-01-04;200;25.8;77.0;0.8
2012-01-04;300;25.5;80.0;0.4
2012-01-04;400;25.1;82.0;0.4
2012-01-04;500;25.0;84.0;0.2
2012-01-04;600;24.7;85.0;0.4
2012-01-04;700;24.6;85.0;0.1
2012-01-04;800;24.7;85.0;0.6
2012-01-04;900;24.2;88.0;0.4
2012-01-04;1000;24.7;88.0;0.2
2012-01-04;1100;26.8;82.0;1.3
2012-01-04;1200;28.1;73.0;1.4
2012-01-04;1300;30.5;65.0;0.9
2012-01-04;1400;30.7;59.0;1.5
2012-01-04;1500;31.2;57.0;1.3
2012-01-04;1600;30.8;64.0;1.8
2012-01-04;1700;28.8;69.0;2.2
2012-01-04;1800;25.7;90.0;2.4
2012-01-04;1900;27.3;84.0;1.1
2012-01-04;2000;28.3;80.0;0.6
2012-01-04;2100;27.5;81.0;0.8
2012-01-04;2200;26.2;89.0;0.3
2012-01-04;2300;25.8;90.0;0.4
2012-01-05;0;25.8;91.0;0.2
2012-01-05;100;25.6;91.0;0.1
2012-01-05;200;25.7;91.0;0.0
2012-01-05;300;25.5;91.0;0.3
2012-01-05;400;25.3;91.0;0.1
2012-01-05;500;25.3;91.0;0.6
2012-01-05;600;25.0;92.0;0.0
