        DAT_MED,VEN_VEL,TEM_INS,UMD_INS,HR_MED
2012-01-01,1.1,26.6,81,0
2012-01-01,0.8,26.3,81,100
2012-01-01,0.7,26.2,82,200
2012-01-01,0.2,26.,83,300
2012-01-01,0.7,25.6,85,400
2012-01-01,0.1,25.2,87,500
2012-01-01,0.4,25.,88,600
2012-01-01,0.3,24.8,89,700
2012-01-01,0,24.2,90,800
2012-01-01,0.1,24.2,91,900
2012-01-01,0.5,24.5,91,1000
2012-01-01,0.7,26.9,85,1100
2012-01-01,1,28.4,78,1200
2012-01-01,1.7,29.1,69,1300
2012-01-01,1.6,31.8,61,1400
2012-01-01,1.3,32.7,59,1500
2012-01-01,2.6,31.1,57,1600
2012-01-01,1.3,31.2,59,1700
2012-01-01,1.3,25.6,83,1800
2012-01-01,1.2,28.3,81,1900
2012-01-01,2.2,27.3,82,2000
2012-01-01,1.1,27.7,82,2100
2012-01-01,1.5,27.6,74,2200
2012-01-01,0.9,27.2,75,2300
2012-01-02,0.4,26.6,75,0
2012-01-02,0.2,25.9,79,100
2012-01-02,0.2,25.8,81,200
2012-01-02,0.1,25.4,84,300
2012-01-02,0.2,25.3,84,400
2012-01-02,0.2,25.2,85,500
2012-01-02,1.2,24.9,86,600
2012-01-02,0.4,24.7,86,700
2012-01-02,0.5,24.5,86,800
2012-01-02,0.2,24.4,86,900
2012-01-02,0.8,25.2,85,1000
2012-01-02,1.2,26.8,79,1100
2012-01-02,1.5,28.4,73,1200
2012-01-02,1.5,29.7,63,1300
2012-01-02,1.7,31.6,58,1400
2012-01-02,1.6,32.9,53,1500
2012-01-02,1.6,31.9,51,1600
2012-01-02,2.3,31,56,1700
2012-01-02,2.5,29.6,61,1800
2012-01-02,2.6,30.7,62,1900
2012-01-02,2.2,30.5,58,2000
2012-01-02,2,29.8,60,2100
2012-01-02,2.7,28.5,63,2200
2012-01-02,1.1,27.3,68,2300
2012-01-03,1,26.7,74,0
2012-01-03,0.8,26,78,100
2012-01-03,0.2,25.4,81,200
2012-01-03,0.6,24.8,85,300
2012-01-03,0.3,24.6,86,400
2012-01-03,0.1,24.1,88,500
2012-01-03,0.1,24.2,88,600
2012-01-03,0,24,90,700
2012-01-03,0.4,23.8,90,800
2012-01-03,0.2,23.7,91,900
2012-01-03,0.3,24.4,90,1000
2012-01-03,0.4,25.3,88,1100
2012-01-03,1.4,28,77,1200
2012-01-03,1.5,29.4,67,1300
2012-01-03,1.7,31.7,58,1400
2012-01-03,1.4,32.2,55,1500
2012-01-03,1.5,33.1,50,1600
2012-01-03,1.1,32.8,48,1700
2012-01-03,1.5,32.6,46,1800
2012-01-03,1.1,32.7,47,1900
2012-01-03,0.9,31.7,49,2000
2012-01-03,1.6,30.2,55,2100
2012-01-03,2.1,28.9,59,2200
2012-01-03,1.8,27.9,65,2300
2012-01-04,1.1,26.9,69,0
2012-01-04,0.9,26.4,73,100
2012-01-04,0.8,25.8,77,200
2012-01-04,0.4,25.5,80,300
2012-01-04,0.4,25.1,82,400
2012-01-04,0.2,25,84,500
2012-01-04,0.4,24.7,85,600
2012-01-04,0.1,24.6,85,700
2012-01-04,0.6,24.7,85,800
2012-01-04,0.4,24.2,88,900
2012-01-04,0.2,24.7,88,1000
2012-01-04,1.3,26.8,82,1100
